Cars,Battery Capacity (kWh),Range (miles),Charging Speed (miles/min)
MG ZS EV (Trophy),51,198,6.5
MG ZS EV (Trophy Long Range),51,273,6.3
Mini Electric ,33,144,3.7
Nissan Ariya (63kWh Evolve),63,247,8.5
Nissan Ariya (63kWh Advance),63,250,8.6
Nissan Ariya (e-4orce 87kWh Evolve),87,314,7.8
Nissan Ariya (e-4orce 87kWh Advance),87,319,7.9
Nissan Ariya (87 kWh Evolve),87,322,8
Nissan Ariya (87kWh Advance),87,329,8.2
Nissan Leaf (Acenta),39,168,3.6
Nissan Leaf (N-Connecta),39,168,3.6
Nissan Leaf (Tekna),39,168,3.6
Nissan Leaf (e+ N-Connecta),39,239,3.4
Nissan Leaf (e+ Tekna),39,239,3.4
Ora Funky Cat,48,193,4.3
Peugeot e-2008,54,206,6.4
Peugeot e-208,50,218,7.3
Peugeot e-Rifter (Long 50 kWh Allure),50,152,5.1
Peugeot e-Rifter,50,182,6.1
Polestar 2 (Standard range Single motor),78,321,10.5
Polestar 2 (Long range Single motor),82,406,16.9
Polestar 2 (Long range Dual motor),82,367,15.3
Porsche Taycan ,79,231,10.9
Porsche Taycan (4S),79.2,230,10.9
Porsche Taycan (GTS),93.4,273,13.2
Porsche Taycan (Turbo S),93.4,273,13.2
Porsche Taycan (Turbo),105,270,13
Porsche Taycan (Plus),79,231,11.1
Porsche Taycan (4S Plus),79,230,11.1
Porsche Taycan (Sport Turismo),89,222,10.5
Porsche Taycan (4S Sport Turismo),89,222,10.5
Porsche Taycan (4 Cross Turismo),100,258,12.4
Porsche Taycan (4S Cross Turismo),105,258,12.4
Porsche Taycan (Turbo S Sport Turismo),105,267,12.9
Porsche Taycan (Turbo S Cross Turismo),105,266,12.8
Porsche Taycan (GTS Sport Turismo),93.4,263,12.7
Porsche Taycan (Turbo Cross Turismo),105,263,12.7
Porsche Taycan (Turbo Sport Turismo),105,263,12.7
Porsche Taycan (Plus Sport Turismo),89,222,10.7
